City,Population,County,State,FullState,MSA,,
Clearwater,114361,Pinellas County,FL,Florida,"Tampa-St. Petersburg-Clearwater, FL",,
Peoria,114265,Peoria County,IL,Illinois,"Peoria, IL",,
Rochester,114011,Olmsted County,MN,Minnesota,"Rochester, MN",,
Carlsbad,113952,San Diego County,CA,California,"San Diego-Carlsbad, CA",,
Westminster,113875,Adams County,CO,Colorado,"Denver-Aurora-Lakewood, CO",,
West Jordan,113699,Salt Lake County,UT,Utah,"Salt Lake City, UT",,
Pearland,113570,Brazoria County,TX,Texas,"Houston-The Woodlands-Sugar Land, TX",,
Richardson,113347,Dallas County,TX,Texas,"Dallas-Plano-Irving, TX Metropolitan Division",,
Downey,113267,Los Angeles County,CA,California,"Los Angeles-Long Beach-Glendale, CA Metropolitan Division",,
Miami Gardens,113058,Miami-Dade County,FL,Florida,"Miami-Miami Beach-Kendall, FL Metropolitan Division",,
Temecula,113054,Riverside County,CA,California,"Riverside-San Bernardino-Ontario, CA",,
Costa Mesa,112822,Orange County,CA,California,"Los Angeles-Long Beach-Glendale, CA Metropolitan Division",,
College Station,112141,Brazos County,TX,Texas,"College Station-Bryan, TX",,
Elgin,112123,Kane County,IL,Illinois,"Chicago-Naperville-Arlington Heights, IL Metropolitan Division",,
Murrieta,111674,Riverside County,CA,California,"Riverside-San Bernardino-Ontario, CA",,
Gresham,111523,Multnomah County,OR,Oregon,"Portland-Vancouver-Hillsboro, OR-WA",,
High Point,111223,Guilford County,NC,North Carolina,"Greensboro-High Point, NC",,
Antioch,110898,Contra Costa County,CA,California,"San Francisco-Redwood City-South San Francisco, CA Metropolitan Division",,
Inglewood,110654,Los Angeles County,CA,California,"Los Angeles-Long Beach-Glendale, CA Metropolitan Division",,
Cambridge,110651,Middlesex County,MA,Massachusetts,"Boston-Cambridge-Newton, MA NECTA Division",,
Lowell,110558,Middlesex County,MA,Massachusetts,"Boston-Cambridge-Newton, MA NECTA Division",,
Manchester,110506,Hillsborough County,NH,New Hampshire,"Manchester, NH",,
Billings,110323,Yellowstone County,MT,Montana,"Billings, MT",,
Pueblo,110291,Pueblo County,CO,Colorado,"Pueblo, CO",,
Palm Bay,110104,Brevard County,FL,Florida,"Palm Bay-Melbourne-Titusville, FL",,
Centennial,109932,Arapahoe County,CO,Colorado,"Denver-Aurora-Lakewood, CO",,
Richmond,109813,Contra Costa County,CA,California,"San Francisco-Redwood City-South San Francisco, CA Metropolitan Division",,
Ventura,109592,Ventura County,CA,California,"Oxnard-Thousand Oaks-Ventura, CA",,
Pompano Beach,109393,Broward County,FL,Florida,"Miami-Miami Beach-Kendall, FL Metropolitan Division",,
North Charleston,109298,Charleston County,SC,South Carolina,"Charleston-North Charleston, SC",,
Everett,109043,Snohomish County,WA,Washington,"Seattle-Bellevue-Everett, WA Metropolitan Division",,
Waterbury,108272,New Haven County,CT,Connecticut,"New Haven, CT",,
West Palm Beach,108161,Palm Beach County,FL,Florida,"Miami-Miami Beach-Kendall, FL Metropolitan Division",,
Boulder,108090,Boulder County,CO,Colorado,"Boulder, CO",,
